NumGens,PopSize,Tree_S,XO_P,XO_R,MU_R,Elitism,RNG_Seed,Trial,FitEvals,EndGen,Geno1,Geno2,Geno3,Fitness,Yield
30000,100,0,1,0.5,0.1,0,621936350787366,0,184155,4341,1100100010000100000000000110000100101010110000000010100000001100100000010,0001001001001001101000011000100000010000000001001000000000000000000000000,0000000000000000010000000001000000000101000100010100000000100001000100000,498824082.0321369171142578125,64872.256999999997788108885288238525
30000,100,0,1,0.5,0.1,0,621948801304853,1,428251,6782,1000110000100000000010001001010000000000000000100011000000000000000100010,0000000000000000011000010000000000110010000000000000000000011100000000100,0001000001010000100000100000001001000000100111011000000000100010001001001,449656287.41540896892547607421875,68657.097000000008847564458847045898
30000,100,0,1,0.5,0.1,0,621970084196048,2,83701,3337,0000010001001001000011000101100010111000000010101000000000001000000000000,1001101010100000011000000000011000000100100000000001000000010010000000100,0000000100000000100000000000000000000001000100000000000001000101000000000,482509383.9655158519744873046875,65563.198000000003958120942115783691
30000,100,0,1,0.5,0.1,0,621979858392131,3,350736,6007,1000000000010010000000100000010000101100101010000100000000000010000011000,0000001011000000100000010001001100000011000000000000000000000000000000000,0010000000001101000001000100000010000000000100010001010010001101101000100,475089138.235028922557830810546875,67120.941000000006170012056827545166
30000,100,0,1,0.5,0.1,0,621998949849218,4,224022,4740,0000100011000000111000011110000001000100100000010000000000011100000001010,0001000000000000000010000001010010000000010100100000000000000000011000000,0000011100001000000000000000000000110011000000000001000000100000000100100,408371226.729294002056121826171875,72018.463999999992665834724903106689
30000,100,0,1,0.5,0.1,0,622014107548239,5,286952,5369,0100110001010000000001000001100000000100100010010000000000000100000000100,0000000010000011000010000110011001101000010001000100000000100000100000010,1000001000000000111000001000000000000001000100000000100100000000000100000,473696299.493900120258331298828125,66766.345999999990453943610191345215
30000,100,0,1,0.5,0.1,0,622029099871340,6,245088,4950,0000010001000000010000000110101000000000100000001000100000100110000000010,0101100000000010000100011001000010000100000000110001000000000000100000100,0010000000001100100000000000000100100001000000000010000001000001001000000,490389361.869109809398651123046875,65336.724000000001979060471057891846
30000,100,0,1,0.5,0.1,0,622045717880542,7,39,2500,0000001000001010010010010111100000000010001001010000101000000000000010000,1001100001100000000001101000001000000001010100100011000100000000100000010,0110010010010001101000000000010001001100100000001000000001000100000101000,491090831.993614017963409423828125,66688.335999999995692633092403411865
30000,100,0,1,0.5,0.1,0,622053725441471,8,61,2500,1001000010010001100100001100100001100000010000000001000010000000001000100,0000000001000000010000100001000000011011000001010110001000100100100000000,0000110000000100001000010000000000000100100000000000000000000010000011000,462803487.59220588207244873046875,66387.790000000008149072527885437012
30000,100,0,1,0.5,0.1,0,622060947020668,9,88,2500,0001100010000000000001001111000001000000100000110000000110001000001000000,0000000100100101000000110000000000100010011001000101001001000001000010100,0010010000000000000100000000011000000001000000001000100000010110000000010,515829744.14449799060821533203125,64726.580000000001746229827404022217
